Title,sku,mrp
"Global Desi Casual Short Sleeve Printed Womens Multicolor Top
",95S-M,1650
"Global Desi Casual Short Sleeve Printed Womens Multicolor Top
",95S-S,1650
"Global Desi Casual Short Sleeve Printed Womens Multicolor Top
",95S-XL,1650
"Global Desi Casual Short Sleeve Printed Womens Multicolor Top
",95S-XS,1650
"Tasrika Printed Womens Straight Kurta  (Blue, Pink)
",95W-XL,949
"Global Desi Casual Sleeveless Printed Womens Green, Brown Top
",962-S,1099
"Global Desi Casual Short Sleeve Graphic Print Womens Blue, Orange Top
",965-XS,1099
"Global Desi Casual Short Sleeve Printed Womens White, Orange Top
",967-S,1599
"Global Desi Casual Sleeveless Printed Womens Blue, Green Top
",96A-XS,999
Top,96X-M,1395
Top,96X-S,1395
Tshirt,973-L,249
Kurti,977-M,1699
Kurti,977-S,1699
Flippd Solid Mens T-Shirt,985-L,399
Flippd Solid Mens T-Shirt,985-M,399
Flippd Solid Mens T-Shirt,986-L,399
Jeans,98Z-36,2599
Tshirt,991-XL,349
Tshirt,992-S,899
Solid Casual Slim Fit Mens Shirt,994-M,1499
People Top For Girls,99T-XS,399
"Avenger T- shirt For Boys  (lemon drop)
",9AF-XS,499
"Pepe Jeans Printed Mens Round Neck Grey T-Shirt
",9AP-XL,1199
United Colors of Benetton Printed Womens Round Neck White T-Shirt,9B2-L,1499
United Colors of Benetton Men Sneakers,9BC-8,3499
Puma Zoom DP Men  Floaters,9BG-3,1999
Puma Zoom DP Men  Floaters,9BG-6,1999
Quiksilver Solid Mens Green Basic Shorts,9BI-32,2845
Jeans,9BW-26,799
United Colors Of Benettone Womens Jegging ,9CH-EL,1099
United Colors Of Benettone Womens Jegging ,9CH-L,1099
United Colors Of Benettone Womens Jegging ,9CH-M,1099
United Colors Of Benettone Womens Jegging ,9CH-S,1099
United Colors Of Benettone Womens Jegging ,9CH-XL,1099
United Colors Of Benettone Womens Jegging ,9CH-XS,1099
"W Cotton Womens Churidar
",9CM-26,599
Reebok ADVENTURE Z SUPREME Men Sandals,9CO-6,2699
Reebok ADVENTURE Z SUPREME Men Sandals,9CO-7,2699
"Global Desi Casual Sleeveless Printed Womens Green Top
",9D7-L,1599
"Amante Womens Sports Beige, Maroon Bra (36 B)
",9DN-R,799
"Triumph Women Pink Briefs 755I851 (Size L )
",9DW-R,399
"Wonderbra Womens T-Shirt Beige Bra (36 D)
",9DX-R,1595
"Triumph Turquoise Blue Full-Coverage Bra 220I079 (32 B)
",9EA-R,1399
Amante Womens Sports Bra ( 36 C ),9EC-R,1495
"Amante Womens Sports Red Bra ( 34 B )
",9EE-R,1495
"Amante Womens Sports Bra (36 B)
",9EF-R,1495
"Amante Womens Sports Beige Bra (34 C)
",9EG-R,1495
"Spiderman Boys
",9EN-6K,449
"Vero Moda Solid Womens Round Neck Yellow T-Shirt
",9EQ-L,495
"Vero Moda Solid Womens Round Neck Yellow T-Shirt
",9EQ-XL,495
Redherring Womens Dress ,9ES-M,2995
Redherring Womens Dress ,9ES-S,2995
"Vero Moda Solid Womens Round Neck Black T-Shirt
",9ET-S,495
"Debenhams-Maine Womens Casual Short Sleeve Floral Print Womens Pink Top (14)
",9EW-XL,2295
"Debenhams-Casual Club Womens Casual Short Sleeve Floral Print Womens Black, White Top (10)
",9EY-M,1295
"Adidas BRIZO 4.0 W Slippers
",9GM-4,1299
"Adidas BRIZO 4.0 W Slippers
",9GM-8,1299
Vans Men Authentic Casual Shoes,9GP-9,2999
VANS Men Sneakers ,9J5-7,2999
VANS Men Sneakers ,9J5-9,2999
VANS Men Sneakers ,9J5-10,2999
"United Colors of Benetton Mens Printed Casual Blue Shirt
",9K2-L,2999
"United Colors of Benetton Mens Self Design Casual Grey, Blue Shirt
",9KX-XL,2799
"United Colors of Benetton Mens Checkered Casual Multicolor Shirt
",9KY-XXL,2799
"United Colors of Benetton Mens Self Design Casual Blue, Maroon Shirt
",9L9-L,3999
